"0.2863005","LOSE","15.93"
"0.2836677","LOSE","12.51"
"0.08774921","LOSE","2.61"
"0.22531593","LOSE","12.33"
"0.35581794","LOSE","13.83"
"0.26296368","LOSE","23.94"
"0.094480075","LOSE","1.95"
"0.35476226","LOSE","12.69"
"0.35589352","LOSE","14.43"
"0.35729814","LOSE","30.39"
"0.35475633","LOSE","29.49"
"0.090080455","LOSE","2.13"
"0.28612965","LOSE","10.71"
"0.08464188","LOSE","2.16"
"0.28499785","LOSE","13.17"
"0.35719696","LOSE","15.03"
"0.09639899","LOSE","3.63"
"0.35417706","LOSE","20.94"
"0.4764949","LOSE","23.4"
"0.08922454","LOSE","3.03"
"0.09486687","LOSE","1.53"
"0.46982598","LOSE","20.13"
"0.09547815","LOSE","3.06"
"0.35719696","LOSE","13.08"
"0.0891816","LOSE","3.33"
"0.35719696","LOSE","13.8"
"0.2266411","LOSE","6.24"
"0.35717842","LOSE","10.08"
"0.46780843","LOSE","17.55"
"0.2864899","LOSE","15.27"
"0.35728887","LOSE","13.89"
"0.43968916","LOSE","31.05"
"0.38232622","LOSE","34.53"
"0.26374376","LOSE","13.77"
"0.21555112","LOSE","9.09"
"0.44192705","LOSE","21.9"
"0.35731778","LOSE","14.43"
"0.21028452","LOSE","7.5"
"0.09738178","LOSE","1.98"
"0.25429702","LOSE","17.97"
"0.28419098","LOSE","15.48"
"0.44527993","LOSE","21.09"
"0.23074494","LOSE","10.68"
"0.35792345","LOSE","16.41"
"0.21832784","LOSE","5.76"
"0.22216989","LOSE","5.43"
"0.35719696","LOSE","11.28"
"0.09628411","LOSE","1.53"
"0.46682045","LOSE","16.17"
"0.094834976","LOSE","2.94"
"0.28145024","LOSE","11.16"
"0.08969816","LOSE","3.09"
"0.38048884","LOSE","12.15"
"0.08736672","LOSE","2.97"
"0.25909963","LOSE","10.74"
"0.26671568","LOSE","8.82"
"0.21729034","LOSE","5.88"
"0.26664403","LOSE","6.93"
"0.2863005","LOSE","14.55"
"0.2279984","LOSE","9.81"
"0.09349128","LOSE","2.73"
"0.27788317","LOSE","10.65"
"0.0846478","LOSE","2.52"
"0.26501158","LOSE","17.25"
"0.3577443","LOSE","11.28"
"0.09368227","LOSE","1.89"
"0.23093434","LOSE","8.97"
"0.3540038","LOSE","20.28"
"0.44810605","LOSE","14.7"
"0.22146648","LOSE","8.22"
"0.44726962","LOSE","14.25"
"0.22507498","LOSE","4.86"
"0.5071811","LOSE","31.95"
"0.091621205","LOSE","2.49"
"0.08758091","LOSE","2.04"
"0.35719696","LOSE","14.31"
"0.08664175","LOSE","2.61"
"0.094386846","LOSE","1.98"
"0.26532155","LOSE","7.05"
"0.26445645","LOSE","6.6"
"0.09386905","LOSE","1.83"
"0.26366132","LOSE","10.2"
"0.28647134","LOSE","10.59"
"0.35858816","LOSE","33.48"
"0.2543017","LOSE","17.22"
"0.44810605","LOSE","16.59"
"0.35861024","LOSE","12.42"
"0.35608032","LOSE","25.68"
"0.35736555","LOSE","12.9"
"0.09406663","LOSE","2.64"
"0.24929647","LOSE","8.64"
"0.38186228","LOSE","23.76"
"0.43600324","LOSE","40.2"
"0.22669254","LOSE","6.39"
"0.09308413","LOSE","2.34"
"0.090297565","LOSE","2.91"
"0.46586558","LOSE","12.75"
"0.22492737","LOSE","6.39"
"0.23074494","LOSE","5.4"
"0.3566288","LOSE","14.31"
"0.08652062","LOSE","2.4"
"0.08637003","LOSE","2.4"
"0.22317162","LOSE","6.0"
"0.22221656","LOSE","6.63"
"0.22425966","LOSE","5.34"
"0.22640559","LOSE","5.46"
"0.092901155","LOSE","2.1"
"0.093936026","LOSE","2.07"
"0.09485555","LOSE","2.43"
"0.26264903","LOSE","11.49"
"0.23074494","LOSE","6.3"
"0.28592172","LOSE","9.36"
"0.2646636","LOSE","11.31"
"0.35589328","LOSE","13.77"
"0.08808992","LOSE","2.52"
"0.35700756","LOSE","12.75"
"0.09516957","LOSE","2.22"
"0.21548928","LOSE","6.15"
"0.08736584","LOSE","2.91"
"0.21419229","LOSE","7.98"
"0.3528753","LOSE","13.68"
"0.09391055","LOSE","2.07"
"0.084048085","LOSE","2.88"
"0.20984985","LOSE","6.03"
"0.09064043","LOSE","3.57"
"0.21636713","LOSE","6.66"
"0.08997854","LOSE","2.28"
"0.38565198","LOSE","12.75"
"0.092469014","LOSE","2.04"
"0.0908743","LOSE","2.43"
"0.21828638","LOSE","8.43"
"0.09054299","LOSE","2.04"
"0.35736555","LOSE","13.98"
"0.09176997","LOSE","2.43"
"0.2667551","LOSE","7.26"
"0.2245308","LOSE","7.23"
"0.3572111","LOSE","14.1"
"0.08511281","LOSE","2.67"
"0.3588214","LOSE","15.21"
"0.22334507","LOSE","6.87"
"0.08599626","LOSE","3.24"
"0.2864899","LOSE","22.5"
"0.3570036","LOSE","36.27"
"0.096224524","LOSE","1.89"
